"TOTAL NUMBER OF REGISTERED PERSONS WITH DISABILITIES"
"Generated: 2026-02-06 13:25:13"

no,type,g1_male,g1_female,g2_male,g2_female,g3_male,g3_female,g4_male,g4_female
1,"Cancer (RA 11215)",0,0,0,0,0,0,0,0
2,"Deaf or Hard of Hearing",0,0,1,0,0,0,0,0
3,"Intellectual Disability",0,0,0,0,0,0,0,0
4,"Learning Disability",0,0,0,0,0,0,0,0
5,"Mental Disability",0,0,0,0,0,0,0,0
6,"Physical Disability",0,0,0,0,0,0,0,0
7,"Psychosocial Disability",0,0,0,1,0,0,0,0
8,"Rare Disease (RA 10747)",0,0,0,0,0,0,0,0
9,"Speech & Language Impairment",0,0,1,0,0,0,0,0
10,"Visual Disability",0,0,0,0,0,0,0,0
